Date,Close,Lag_1,Lag_2,Lag_3,SMA_7
2023-12-01,118.05,119.425,119.5,120.64999999999999,121.12857142857142
2023-12-04,112.725,118.05,119.425,119.5,119.4392857142857
2023-12-05,114.425,112.725,118.05,119.425,118.0392857142857
2023-12-06,110.35,114.425,112.725,118.05,116.44642857142856
2023-12-07,112.3,110.35,114.425,112.725,115.25357142857142
2023-12-08,111.64999999999999,112.3,110.35,114.425,114.13214285714285
2023-12-11,110.225,111.64999999999999,112.3,110.35,112.81785714285714
2023-12-12,111.74999999999999,110.225,111.64999999999999,112.3,111.91785714285713
2023-12-13,113.925,111.74999999999999,110.225,111.64999999999999,112.08928571428571
2023-12-14,112.99999999999999,113.925,111.74999999999999,110.225,111.88571428571429
2023-12-15,117.425,112.99999999999999,113.925,111.74999999999999,112.89642857142857
2023-12-18,117.30000000000001,117.425,112.99999999999999,113.925,113.61071428571427
2023-12-19,117.75000000000001,117.30000000000001,117.425,112.99999999999999,114.48214285714286
2023-12-20,116.52499999999999,117.75000000000001,117.30000000000001,117.425,115.38214285714287
2023-12-21,114.675,116.52499999999999,117.75000000000001,117.30000000000001,115.8
2023-12-22,114.875,114.675,116.52499999999999,117.75000000000001,115.93571428571428
2023-12-25,115.97500000000001,114.875,114.675,116.52499999999999,116.36071428571428
2023-12-26,115.8,115.97500000000001,114.875,114.675,116.12857142857142
2023-12-27,114.375,115.8,115.97500000000001,114.875,115.71071428571427
2023-12-28,113.475,114.375,115.8,115.97500000000001,115.1
2023-12-29,113.39999999999999,113.475,114.375,115.8,114.65357142857142
2024-01-03,115.125,113.39999999999999,113.475,114.375,114.71785714285714
2024-01-04,115.55,115.125,113.39999999999999,113.475,114.81428571428572
2024-01-05,120.0,115.55,115.125,113.39999999999999,115.38928571428572
2024-01-08,124.27499999999999,120.0,115.55,115.125,116.60000000000001
2024-01-09,123.5,124.27499999999999,120.0,115.55,117.90357142857144
2024-01-10,122.175,123.5,124.27499999999999,120.0,119.14642857142857
2024-01-11,125.95,122.175,123.5,124.27499999999999,120.93928571428572
2024-01-12,125.125,125.95,122.175,123.5,122.36785714285715
2024-01-15,124.3,125.125,125.95,122.175,123.61785714285713
2024-01-16,124.925,124.3,125.125,125.95,124.32142857142857
2024-01-17,124.975,124.925,124.3,125.125,124.42142857142856
2024-01-18,122.57499999999999,124.975,124.925,124.3,124.28928571428571
2024-01-19,122.75,122.57499999999999,124.975,124.925,124.37142857142858
2024-01-22,124.175,122.75,122.57499999999999,124.975,124.11785714285713
2024-01-23,122.975,124.175,122.75,122.57499999999999,123.81071428571428
2024-01-24,120.85000000000001,122.975,124.175,122.75,123.31785714285715
2024-01-25,121.975,120.85000000000001,122.975,124.175,122.89642857142856
2024-01-26,120.75,121.975,120.85000000000001,122.975,122.29285714285713
2024-01-29,121.825,120.75,121.975,120.85000000000001,122.18571428571428
2024-01-30,122.62500000000001,121.825,120.75,121.975,122.16785714285713
2024-01-31,122.875,122.62500000000001,121.825,120.75,121.98214285714286
2024-02-01,123.125,122.875,122.62500000000001,121.825,122.00357142857142
2024-02-02,122.2,123.125,122.875,122.62500000000001,122.19642857142857
2024-02-05,122.275,122.2,123.125,122.875,122.23928571428573
2024-02-06,121.89999999999999,122.275,122.2,123.125,122.40357142857142
2024-02-07,123.45,121.89999999999999,122.275,122.2,122.63571428571429
2024-02-08,121.3,123.45,121.89999999999999,122.275,122.44642857142857
2024-02-09,121.65,121.3,123.45,121.89999999999999,122.27142857142859
